name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Las Vegas,2023-01-02,11.5,5.8,8.8,11.5,3.5,7.5,-3.9,41.2,0.191,100,4.17,rain,0,0,56.4,26.6,327.2,1011.4,36.8,16,127.8,11,6,10,2023-01-02T06:51:56,2023-01-02T16:37:32,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KLAS,CMP12,74614023112,KLSV,72386023169,KVGT,72484653123"
Las Vegas,2023-01-03,12,5.9,8.6,12,3.8,7.6,2.8,67.8,0,0,0,,0,0,22.3,13.8,51.7,1017.3,61.7,16,107.3,9.2,6,10,2023-01-03T06:52:03,2023-01-03T16:38:20,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KLAS,CMP12,74614023112,KLSV,72386023169,KVGT,72484653123"
Las Vegas,2023-01-04,10.5,6.2,8.5,10.5,4.2,7.9,4.5,76.1,0,0,0,,0,0,13,13.1,106.9,1022.7,87,16,39.2,3.3,3,10,2023-01-04T06:52:08,2023-01-04T16:39:10,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KLAS,CMP12,74614023112,KLSV,72386023169,KVGT,72484653123"
Las Vegas,2023-01-05,11.4,7.6,9.5,11.4,6.6,8.9,6.2,80.2,2.392,100,20.83,rain,0,0,46.8,23.4,98.5,1017.3,71.4,15.7,37,3.1,2,10,2023-01-05T06:52:12,2023-01-05T16:40:01,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"KLAS,CMP12,74614023112,KLSV,72386023169,KVGT,72484653123"
Las Vegas,2023-01-06,15.1,4.1,9.1,15.1,2.8,8.2,2.5,65.1,0,0,0,,0,0,13,15.8,321.7,1023.6,3.9,16,131.6,11.3,6,10,2023-01-06T06:52:13,2023-01-06T16:40:53,0.5,Clear,Clear conditions throughout the day.,clear-day,"KLAS,CMP12,74614023112,KLSV,72386023169,KVGT,72484653123"
Las Vegas,2023-01-07,12.5,3.1,7.9,12.5,0.6,7.3,2.2,68.2,0,0,0,,0,0,11.2,11.3,36.9,1025,20.7,16,86.7,7.2,4,10,2023-01-07T06:52:13,2023-01-07T16:41:46,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KLAS,CMP12,74614023112,KLSV,72386023169,KVGT,72484653123"
Las Vegas,2023-01-08,13.7,3.8,8.8,13.7,2.8,8.4,2.3,65.2,0,0,0,,0,0,13,17.1,96.2,1022.3,26.4,16,107,9.1,5,10,2023-01-08T06:52:10,2023-01-08T16:42:40,0.56,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KLAS,CMP12,74614023112,KLSV,72386023169,KVGT,72484653123"
Las Vegas,2023-01-09,13.7,8.7,10.7,13.7,8.7,10.7,3.3,60.5,0.773,100,12.5,rain,0,0,31.7,14.4,38.4,1018.5,91.1,16,42.8,3.6,2,10,2023-01-09T06:52:06,2023-01-09T16:43:35,0.6,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"KLAS,CMP12,74614023112,KLSV,72386023169,KVGT,72484653123"
Las Vegas,2023-01-10,16.3,9.4,11.5,16.3,7,11.4,3,56.3,3.455,100,16.67,rain,0,0,63,35.4,214.5,1013.3,56.7,15.7,53.2,4.5,5,10,2023-01-10T06:52:00,2023-01-10T16:44:31,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KLAS,CMP12,74614023112,KLSV,72386023169,KVGT,72484653123"
Las Vegas,2023-01-11,13.1,3.4,8.4,13.1,1.4,7.7,0.3,58.1,0,0,0,,0,0,24.1,13.2,355.5,1023.6,13.6,16,124.7,10.7,6,10,2023-01-11T06:51:51,2023-01-11T16:45:27,0.66,Clear,Clear conditions throughout the day.,clear-day,"KLAS,CMP12,74614023112,KLSV,72386023169,KVGT,72484653123"
Las Vegas,2023-01-12,14.6,3.3,8.7,14.6,1.4,8.1,0.4,58.2,0,0,0,,0,0,13,8.3,312.3,1028.8,16.4,16,116.1,10,6,10,2023-01-12T06:51:41,2023-01-12T16:46:25,0.7,Clear,Clear conditions throughout the day.,clear-day,"KLAS,CMP12,74614023112,KLSV,72386023169,KVGT,72484653123"
Las Vegas,2023-01-13,14.3,4.8,9.4,14.3,3.9,9.2,-0.1,52.9,0,0,0,rain,0,0,9.4,9.9,44.9,1023.1,20,16,90.4,7.7,4,10,2023-01-13T06:51:28,2023-01-13T16:47:23,0.73,Clear,Partly cloudy throughout the day.,clear-day,"KLAS,CMP12,74614023112,KLSV,72386023169,KVGT,72484653123"
