,Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,Marketing_Airline_Network,Operated_or_Branded_Code_Share_Partners,DOT_ID_Marketing_Airline,IATA_Code_Marketing_Airline,Flight_Number_Marketing_Airline,Originally_Scheduled_Code_Share_Airline,DOT_ID_Originally_Scheduled_Code_Share_Airline,IATA_Code_Originally_Scheduled_Code_Share_Airline,Flight_Num_Originally_Scheduled_Code_Share_Airline,Operating_Airline,DOT_ID_Operating_Airline,IATA_Code_Operating_Airline,Tail_Number,Flight_Number_Operating_Airline,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,Origin,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,Dest,DestCityName,DestState,DestStateFips,DestStateName,DestWac,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Flights,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2302,2019,1,1,31,4,2019/1/31,DL,DL_CODESHARE,19790,DL,5793,,,,,CP,21167,CP,N636CZ,5793,12889,1288903,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,12892,1289208,32575,LAX,"Los Angeles, CA",CA,6,California,91,904,858,-6,0,0,-1,0900-0959,17,915,1309,15,1030,1324,174,174,1,11,1000-1059,0,,1,86,,,1,236,1,,,,,
4086,2019,1,2,23,6,2019/2/23,WN,WN,19393,WN,3500,,,,,WN,19393,WN,N7861J,3500,12889,1288903,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,12892,1289208,32575,LAX,"Los Angeles, CA",CA,6,California,91,755,754,-1,0,0,-1,0700-0759,12,806,1124,5,915,1129,134,134,1,8,0900-0959,0,,1,80,,,1,236,1,,,,,
4349,2019,1,3,14,4,2019/3/14,AA,AA,19805,AA,501,,,,,AA,19805,AA,N913US,501,12892,1289208,32575,LAX,"Los Angeles, CA",CA,6,California,91,12889,1288903,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,1655,1654,-1,0,0,-1,1600-1659,16,1710,2316,17,1809,2333,324,324,1,21,1800-1859,0,,1,74,,,1,236,1,,,,,
4355,2019,1,3,20,3,2019/3/20,AA,AA,19805,AA,501,,,,,AA,19805,AA,N971UY,501,12892,1289208,32575,LAX,"Los Angeles, CA",CA,6,California,91,12889,1288903,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,1655,1651,-4,0,0,-1,1600-1659,32,1723,2052,6,1809,2058,169,169,1,11,1800-1859,0,,1,74,,,1,236,1,,,,,
5148,2019,1,3,20,3,2019/3/20,DL,DL,19790,DL,1728,,,,,DL,19790,DL,N354NB,1728,12892,1289208,32575,LAX,"Los Angeles, CA",CA,6,California,91,12889,1288903,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,1725,1730,5,5,0,0,1700-1759,17,1747,2122,6,1838,2128,170,170,1,11,1800-1859,0,,1,73,,,1,236,1,,,,,
6931,2019,2,4,29,1,2019/4/29,WN,WN,19393,WN,2275,,,,,WN,19393,WN,N796SW,2275,12892,1289208,32575,LAX,"Los Angeles, CA",CA,6,California,91,12889,1288903,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,1150,1407,137,137,1,9,1100-1159,11,1418,1833,22,1305,1855,350,350,1,23,1300-1359,0,,1,75,,,1,236,1,,,,,
7663,2019,2,4,29,1,2019/4/29,AA,AA,19805,AA,2249,,,,,AA,19805,AA,N159AN,2249,12892,1289208,32575,LAX,"Los Angeles, CA",CA,6,California,91,12889,1288903,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,1053,1122,29,29,1,1,1000-1059,136,1338,1941,13,1209,1954,465,465,1,31,1200-1259,0,,1,76,,,1,236,1,,,,,
7878,2019,2,4,9,2,2019/4/9,UA,UA,19977,UA,2048,,,,,UA,19977,UA,N819UA,2048,12892,1289208,32575,LAX,"Los Angeles, CA",CA,6,California,91,12889,1288903,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,1950,1957,7,7,0,0,1900-1959,19,2016,24,12,2112,36,204,204,1,13,2100-2159,0,,1,82,,,1,236,1,,,,,
8002,2019,2,4,9,2,2019/4/9,AS,AS,19930,AS,1490,,,,,AS,19930,AS,N835VA,1490,12892,1289208,32575,LAX,"Los Angeles, CA",CA,6,California,91,12889,1288903,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,2020,2010,-10,0,0,-1,2000-2059,19,2029,31,12,2135,43,188,188,1,12,2100-2159,0,,1,75,,,1,236,1,,,,,
8437,2019,2,4,9,2,2019/4/9,DL,DL,19790,DL,995,,,,,DL,19790,DL,N3744F,995,12892,1289208,32575,LAX,"Los Angeles, CA",CA,6,California,91,12889,1288903,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,1940,1937,-3,0,0,-1,1900-1959,10,1947,606,6,2056,612,556,556,1,37,2000-2059,0,,1,76,,,1,236,1,,,,,
19714,2019,4,10,27,7,2019/10/27,AS,AS,19930,AS,1473,,,,,AS,19930,AS,N630VA,1473,12889,1288903,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,12892,1289208,32575,LAX,"Los Angeles, CA",CA,6,California,91,1030,1021,-9,0,0,-1,1000-1059,19,1040,1337,2,1150,1339,109,109,1,7,1100-1159,0,,1,80,,,1,236,1,,,,,
20873,2019,4,10,8,2,2019/10/8,WN,WN,19393,WN,1462,,,,,WN,19393,WN,N7857B,1462,12889,1288903,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,12892,1289208,32575,LAX,"Los Angeles, CA",CA,6,California,91,1850,1908,18,18,1,1,1800-1859,42,1950,2252,6,2000,2258,178,178,1,11,2000-2059,0,,1,70,,,1,236,1,,,,,
22539,2019,4,11,20,3,2019/11/20,UA,UA,19977,UA,1260,,,,,UA,19977,UA,N81449,1260,12892,1289208,32575,LAX,"Los Angeles, CA",CA,6,California,91,12889,1288903,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,755,746,-9,0,0,-1,0700-0759,103,929,1320,6,913,1326,253,253,1,16,0900-0959,0,,1,78,,,1,236,1,,,,,
